"De'Aaron Fox",,273,1408,2426,3320,5398,6750,7304,7304,,,,,,,,,,,,,,,,
"Deandre Ayton",,,1159,1729,2846,3843,4707,,,,,,,,,,,,,,,,,,
"DeJuan Blair",,,638,1312,,,,,,,,,,,,,,,,,,,,,
"DeMar DeRozan",,,662,2072,3126,4611,6402,7606,9436,11456,13296,14931,16372,17751,19869,21164,21164,21164,21164,21164,21164,21164,21164,21164,21164
"DeMarcus Cousins",,,1143,2303,3583,5197,6618,8366,10308,11518,12006,12006,12372,12802,12802,12802,,,,,,,,,
"Deni Avdija",,47,605,1326,,,,,,,,,,,,,,,,,,,,,
"Dennis Johnson",,,,,,,,,,,,,11037,12250,13312,14283,15004,15535,15535,15535,15535,15535,15535,15535,15535
"Dennis Schröder",,,,,,3244,4545,5769,6998,7940,,,,,,,,,,,,,,,
"Dennis Smith Jr.",,243,1274,1826,,,,,,,,,,,,,,,,,,,,,
"Derek Harper",,,,,,,,,,,,,,,12312,13231,14380,15133,15699,16008,16008,16008,16008,16008,16008
"Deron Williams",,,,,2161,3706,5028,6447,7756,8910,10386,11301,12185,13103,13804,13804,13804,13804,13804,13804,13804,13804,13804,13804,13804
"Derrick Favors",,533,1103,1830,2800,3987,5003,5479,,,,,,,,,,,,,,,,,
"Derrick McKey",,,,,,3253,4368,,,,,,,,,,,,,,,,,,
"Derrick Rose",,,1361,2980,5006,5858,5858,6017,6921,8001,9155,,,,,,,,,,,,,,
"Derrick Williams",,,583,1516,2140,,,,,,,,,,,,,,,,,,,,
"DeSagana Diop",,16,,,,,,,,,,,,,,,,,,,,,,,
"DeShawn Stevenson",,77,,,,,,,,,,,,,,,,,,,,,,,
"Detlef Schrempf",,,,,,,,,,,,,,,,,13766,14331,15381,15657,15761,15761,15761,15761,15761
"Devin Booker",14,1087,2897,4231,5911,7683,9481,11363,12022,12022,12022,12022,12022,12022,,,,,,,,,,,
"Devin Vassell",,,,1213,,,,,,,,,,,,,,,,,,,,,
"Deyonta Davis",,38,,,,,,,,,,,,,,,,,,,,,,,
"Dick Barnett",,,,,,,,,,,,,,,,12908,14181,15145,15337,15359,15359,15359,15359,15359,15359
"Dick Van Arsdale",,,,,,,,,,7797,9465,10907,12308,13500,14470,14920,15079,15079,15079,15079,15079,15079,15079,15079,15079
"Dion Waiters",,,,,2189,3173,,,,,,,,,,,,,,,,,,,
"Dirk Nowitzki",,,,1820,3604,5383,7394,9074,11106,13257,15173,16990,19084,21111,22792,24134,25051,26786,28119,29491,30260,31187,31560,31560,31560
"Dolph Schayes",,,,,2191,,4322,5654,6985,8461,10078,11869,13403,15092,16960,17782,18409,18543,18543,18543,18543,18543,18543,18543,18543
"Domantas Sabonis",,,479,1340,2383,3530,4609,5961,6909,,,,,,,,,,,,,,,,
"Dominick Barlow",,18,,,,,,,,,,,,,,,,,,,,,,,
"Dominique Wilkins",,,,,,,,6354,8549,10802,13339,15378,17509,19773,20526,22724,24649,25387,25898,26532,26532,26666,26666,26666,26666
