"Player",1948,1949,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1972,1973,1974,1975,1976,1977,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1995,2002,2003,2004,2005,2008,2009,2010,2011,2012,2013,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026
"Arnie Risen",,,,,,,,37,112,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158,158
"Bill Walton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156,156
"Rasheed Wallace",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147,147
"Rodney Rogers",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142,142
"Art Williams",,,,,,,,,,,,,,,,,,,,,,65,113,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140,140
"Gordon Hayward",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,86,140,140,140,140,140,140,140
"Quinn Buckner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,108,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139,139
"Jerry Sichting",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,57,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136,136
"Ricky Davis",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134,134
"Aron Baynes",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,114,133,133,133,133,133,133,133,133
"Bob Brannum",,,,9,40,68,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131,131
"John Bagley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,19,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130,130
"Bob Harris",,,7,30,80,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128,128
"Chuck Cooper",,,10,43,103,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127,127
"Leon Powe",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126,126
"Sherman Douglas",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,63,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123,123
"Evan Turner",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,121,121,121,121,121,121,121,121,121,121,121
"Fred Roberts",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
"Ray Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120,120
"Sidney Wicks",,,,,,,,,,,,,,,,,,,,,,,,,,,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118,118
"Luke Kornet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,10,27,66,116,116
"Darren Daye",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116,116
"Jonas Jerebko",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,66,109,109,109,109,109,109,109,109,109,109
"Gerald Green",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97,97,97,97,97,97,97,97,97,97
"Sam Vincent",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96
"Sam Cassell",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94
"Brad Wanamaker",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,94,94,94,94,94,94,94
"Mark Blount",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,37,85,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
"Bob Donham",,,13,40,73,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93
"Delonte West",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,29,29,29,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88
"Amir Johnson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,87,87,87,87,87,87,87,87,87,87
"Curtis Rowe",,,,,,,,,,,,,,,,,,,,,,,,,,,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86
"Wayne Embry",,,,,,,,,,,,,,,,,,,26,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85
"Tyler Zeller",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,52,84,84,84,84,84,84,84,84,84,84
"Joe Kleine",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,50,58,78,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
"Don Barksdale",,,,,,30,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84
"Jared Sullinger",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,49,80,80,80,80,80,80,80,80,80,80,80
"Evan Fournier",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,77,77,77,77,77
"Dominique Wilkins",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76
"PJ Brown",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
"Jason Terry",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,72,72,72,72,72,72,72,72,72,72,72,72
"Gary Payton",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72
