,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Lachlan Olbrich,Los Angeles Lakers,Illawarra (Australia),2025,2,25,55,Inter,,,West Virginia,7,NCAA
,,,,,,,,,,,,,,,,Zaccharie Risacher,Atlanta Hawks,JL Bourg (France),2024,1,1,1,Inter,YES,,Nebraska,7,NCAA
,,,,,,,,,,,,,,,,Ulrich Chomche,Memphis Grizzlies,APR BBC (Rwanda),2024,2,27,57,Inter,,,DePaul,7,NCAA
,,,,,,,,,,,,,,,,Ariel Hukporti,Dallas Mavericks,MHP Riesen (Germany),2024,2,28,58,Inter,,,KK Cibona (Croatia),7,Inter
,,,,,,,,,,,,,,,,Tidjane Salaün,Charlotte Hornets,Cholet Basket (France),2024,1,6,6,Inter,YES,,South Carolina,6,NCAA
,,,,,,,,,,,,,,,,Pacôme Dadiet,New York Knicks,Ratiopharm Ulm (Germany),2024,1,25,25,Inter,YES,,Colorado State,6,NCAA
,,,,,,,,,,,,,,,,Juan Nunez,Indiana Pacers,Ratiopharm Ulm (Germany),2024,2,6,36,Inter,,,Virginia Commonwealth,6,NCAA
,,,,,,,,,,,,,,,,Nikola Djurisic,Miami Heat,KK Mega Leks (Serbia),2024,2,13,43,Inter,,,Western Kentucky,6,NCAA
,,,,,,,,,,,,,,,,James Nnaji,Detroit Pistons,FC Barcelona Basquet (Spain),2023,2,1,31,Inter,,,Murray State,6,NCAA
,,,,,,,,,,,,,,,,Tristan Vukcevic,Washington Wizards,Real Madrid Baloncesto (Spain),2023,2,12,42,Inter,,,Texas A&M,6,NCAA
,,,,,,,,,,,,,,,,Nikola Jović,Miami Heat,KK Mega Leks (Serbia),2022,1,27,27,Inter,,,Texas-El Paso,6,NCAA
,,,,,,,,,,,,,,,,Gabriele Procida,Portland Trail Blazers,Fortitudo Pallacanestro Bologna (Italy),2022,2,6,36,Inter,,,Cholet Basket (France),6,Inter
,,,,,,,,,,,,,,,,Khalifa Diop,Cleveland Cavaliers,CB Gran Canaria (Spain),2022,2,9,39,Inter,,,Anadolu Efes S.K. (Turkey),6,Inter
,,,,,,,,,,,,,,,,Filip Petrusev,Philadelphia 76ers,KK Mega Leks (Serbia),2021,2,20,50,Inter,,,Rutgers,5,NCAA
,,,,,,,,,,,,,,,,Killian Hayes,Detroit Pistons,Ratiopharm Ulm (Germany),2020,1,7,7,Inter,,,Penn State,5,NCAA
,,,,,,,,,,,,,,,,Aleksej Pokusevski,Minnesota Timberwolves,Olympiacos B.C. (Greece),2020,1,17,17,Inter,,,Saint Joseph's,5,NCAA
,,,,,,,,,,,,,,,,Leandro Bolmaro,New York Knicks,FC Barcelona Basquet (Spain),2020,1,23,23,Inter,,,Dayton,5,NCAA
,,,,,,,,,,,,,,,,Marko Simonovic,Chicago Bulls,KK Mega Leks (Serbia),2020,2,14,44,Inter,,,Pepperdine,5,NCAA
,,,,,,,,,,,,,,,,Goga Bitadze,Indiana Pacers,KK Mega Leks (Serbia),2019,1,18,18,Inter,,,Kansas State,5,NCAA
,,,,,,,,,,,,,,,,Luka Samanic,San Antonio Spurs,KK Olimpija (Slovenia),2019,1,19,19,Inter,,,San Diego State,5,NCAA
,,,,,,,,,,,,,,,,Vanja Marinkovic,Sacramento Kings,KK Partizan (Serbia),2019,2,30,60,Inter,,,Virginia Tech,5,NCAA
,,,,,,,,,,,,,,,,Luka Dončić,Atlanta Hawks,Real Madrid Baloncesto (Spain),2018,1,3,3,Inter,,,Massachusetts,5,NCAA
,,,,,,,,,,,,,,,,Elie Okobo,Phoenix Suns,Elan Bearnais Pau-Orthez (France),2018,2,1,31,Inter,,,Long Beach State,5,NCAA
