,NCAA,Inter,G League,HS,,,NCAA,Inter,G League,HS,,,,,,Ronald Holland II,Detroit Pistons,Ignite (G League),2024,1,5,5,G League,YES,,Duke,71,NCAA
,,,,,,,,,,,,,,,,Chris Crawford,Atlanta Hawks,Marquette,1997,2,22,50,NCAA,,,,,
,,,,,,,,,,,,,,,,DeJuan Wheat,Los Angeles Lakers,Louisville,1997,2,23,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Paul Rogers,Los Angeles Lakers,Gonzaga,1997,2,25,53,NCAA,,,,,
,,,,,,,,,,,,,,,,Mark Blount,Seattle SuperSonics,Pittsburgh,1997,2,26,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Nate Erdmann,Utah Jazz,Oklahoma,1997,2,28,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Allen Iverson,Philadelphia 76ers,Georgetown,1996,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Camby,Toronto Raptors,Massachusetts,1996,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Shareef Abdur-Rahim,Vancouver Grizzlies,California,1996,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Stephon Marbury,Milwaukee Bucks,Georgia Tech,1996,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Ray Allen,Minnesota Timberwolves,Connecticut,1996,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Antoine Walker,Boston Celtics,Kentucky,1996,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Lorenzen Wright,Los Angeles Clippers,Memphis,1996,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Kerry Kittles,New Jersey Nets,Villanova,1996,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Samaki Walker,Dallas Mavericks,Louisville,1996,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Erick Dampier,Indiana Pacers,Mississippi State,1996,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Todd Fuller,Golden State Warriors,North Carolina State,1996,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Tony Delk,Charlotte Hornets,Kentucky,1996,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,John Wallace,New York Knicks,Syracuse,1996,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Walter McCarty,New York Knicks,Kentucky,1996,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Dontae' Jones,New York Knicks,Mississippi State,1996,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Roy Rogers,Vancouver Grizzlies,Alabama,1996,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Jerome Williams,Detroit Pistons,Georgetown,1996,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Brian Evans,Orlando Magic,Indiana,1996,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Travis Knight,Chicago Bulls,Connecticut,1996,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Othella Harrington,Houston Rockets,Georgetown,1996,2,1,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Mark Hendrickson,Philadelphia 76ers,Washington State,1996,2,2,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Ryan Minor,Philadelphia 76ers,Oklahoma,1996,2,3,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Joseph Blair,Seattle SuperSonics,Arizona,1996,2,6,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Doron Sheffer,Los Angeles Clippers,Connecticut,1996,2,7,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Jeff McInnis,Denver Nuggets,North Carolina,1996,2,8,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Steve Hamer,Boston Celtics,Tennessee,1996,2,9,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Russ Millard,Phoenix Suns,Iowa,1996,2,10,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Sasser,Sacramento Kings,Texas Tech,1996,2,12,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Randy Livingston,Houston Rockets,Louisiana State,1996,2,13,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Ben Davis,Phoenix Suns,Arizona,1996,2,14,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Joe Vogel,Seattle SuperSonics,Colorado State,1996,2,16,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Marcus Brown,Portland Trail Blazers,Murray State,1996,2,17,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Ron Riley,Seattle SuperSonics,Arizona State,1996,2,18,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Jamie Feick,Philadelphia 76ers,Michigan State,1996,2,19,48,NCAA,,,,,
,,,,,,,,,,,,,,,,Amal McCaskill,Orlando Magic,Marquette,1996,2,20,49,NCAA,,,,,
,,,,,,,,,,,,,,,,Terrell Bell,Houston Rockets,Georgia,1996,2,21,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Robinson,Vancouver Grizzlies,Western Kentucky,1996,2,22,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Mark Pope,Indiana Pacers,Kentucky,1996,2,23,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Shandon Anderson,Utah Jazz,Georgia,1996,2,25,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Ronnie Henderson,Washington Bullets,Louisiana State,1996,2,26,55,NCAA,,,,,
,,,,,,,,,,,,,,,,Reggie Geary,Cleveland Cavaliers,Arizona,1996,2,27,56,NCAA,,,,,
,,,,,,,,,,,,,,,,Drew Barry,Seattle SuperSonics,Georgia Tech,1996,2,28,57,NCAA,,,,,
,,,,,,,,,,,,,,,,Darnell Robinson,Dallas Mavericks,Arkansas,1996,2,29,58,NCAA,,,,,
,,,,,,,,,,,,,,,,Joe Smith,Golden State Warriors,Maryland,1995,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Antonio McDyess,Los Angeles Clippers,Alabama,1995,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Jerry Stackhouse,Philadelphia 76ers,North Carolina,1995,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Rasheed Wallace,Washington Bullets,North Carolina,1995,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Bryant Reeves,Vancouver Grizzlies,Oklahoma State,1995,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Damon Stoudamire,Toronto Raptors,Arizona,1995,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Shawn Respert,Portland Trail Blazers,Michigan State,1995,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Ed O'Bannon,New Jersey Nets,California-Los Angeles,1995,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Gary Trent,Milwaukee Bucks,Ohio,1995,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Cherokee Parks,Dallas Mavericks,Duke,1995,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Corliss Williamson,Sacramento Kings,Arkansas,1995,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Williams,Boston Celtics,Providence,1995,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Brent Barry,Denver Nuggets,Oregon State,1995,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Alan Henderson,Atlanta Hawks,Indiana,1995,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Bob Sura,Cleveland Cavaliers,Florida State,1995,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Randolph Childress,Detroit Pistons,Wake Forest,1995,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Caffey,Chicago Bulls,Alabama,1995,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Michael Finley,Phoenix Suns,Wisconsin,1995,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,George Zidek,Charlotte Hornets,California-Los Angeles,1995,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Travis Best,Indiana Pacers,Georgia Tech,1995,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Loren Meyer,Dallas Mavericks,Iowa State,1995,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,David Vaughn,Orlando Magic,Memphis,1995,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,Mario Bennett,Phoenix Suns,Arizona State,1995,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Greg Ostertag,Utah Jazz,Kansas,1995,1,28,28,NCAA,,,,,
,,,,,,,,,,,,,,,,Cory Alexander,San Antonio Spurs,Virginia,1995,1,29,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Lou Roe,Detroit Pistons,Massachusetts,1995,2,1,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Terrence Rencher,Washington Bullets,Texas,1995,2,3,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Junior Burrough,Boston Celtics,Virginia,1995,2,4,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Andrew DeClercq,Golden State Warriors,Florida,1995,2,5,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Jimmy King,Toronto Raptors,Michigan,1995,2,6,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Lawrence Moten,Vancouver Grizzlies,Syracuse,1995,2,7,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Rashard Griffith,Milwaukee Bucks,Wisconsin,1995,2,9,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Donny Marshall,Cleveland Cavaliers,Connecticut,1995,2,10,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Erik Meek,Houston Rockets,Duke,1995,2,12,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Donnie Boyce,Atlanta Hawks,Colorado,1995,2,13,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Snow,Milwaukee Bucks,Michigan State,1995,2,14,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Anthony Pelle,Denver Nuggets,Fresno State,1995,2,15,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Troy Brown,Atlanta Hawks,Providence,1995,2,16,45,NCAA,,,,,
,,,,,,,,,,,,,,,,George Banks,Miami Heat,Texas-El Paso,1995,2,17,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Tyus Edney,Sacramento Kings,California-Los Angeles,1995,2,18,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Mark Davis,Minnesota Timberwolves,Texas Tech,1995,2,19,48,NCAA,,,,,
,,,,,,,,,,,,,,,,Fred Hoiberg,Indiana Pacers,Iowa State,1995,2,23,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Constantin Popa,Los Angeles Clippers,Miami (FL),1995,2,24,53,NCAA,,,,,
,,,,,,,,,,,,,,,,Cuonzo Martin,Atlanta Hawks,Purdue,1995,2,28,57,NCAA,,,,,
,,,,,,,,,,,,,,,,Don Reid,Detroit Pistons,Georgetown,1995,2,29,58,NCAA,,,,,
,,,,,,,,,,,,,,,,Glenn Robinson,Milwaukee Bucks,Purdue,1994,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Jason Kidd,Dallas Mavericks,California,1994,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Grant Hill,Detroit Pistons,Duke,1994,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Donyell Marshall,Minnesota Timberwolves,Connecticut,1994,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Juwan Howard,Washington Bullets,Michigan,1994,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Sharone Wright,Philadelphia 76ers,Clemson,1994,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Lamond Murray,Los Angeles Clippers,California,1994,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Brian Grant,Sacramento Kings,Xavier,1994,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Montross,Boston Celtics,North Carolina,1994,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Eddie Jones,Los Angeles Lakers,Temple,1994,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Khalid Reeves,Miami Heat,Arizona,1994,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Jalen Rose,Denver Nuggets,Michigan,1994,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Piatkowski,Indiana Pacers,Nebraska,1994,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Clifford Rozier,Golden State Warriors,Louisville,1994,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Aaron McKie,Portland Trail Blazers,Temple,1994,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Mobley,Milwaukee Bucks,Pittsburgh,1994,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,B.J. Tyler,Philadelphia 76ers,Texas,1994,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Dickey Simpkins,Chicago Bulls,Providence,1994,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Bill Curley,San Antonio Spurs,Boston College,1994,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Wesley Person,Phoenix Suns,Auburn,1994,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Monty Williams,New York Knicks,Notre Dame,1994,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Greg Minor,Los Angeles Clippers,Louisville,1994,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,Charlie Ward,New York Knicks,Florida State,1994,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Brooks Thompson,Orlando Magic,Oklahoma State,1994,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Deon Thomas,Dallas Mavericks,Illinois,1994,2,1,28,NCAA,,,,,
,,,,,,,,,,,,,,,,Antonio Lang,Phoenix Suns,Duke,1994,2,2,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Howard Eisley,Minnesota Timberwolves,Boston College,1994,2,3,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Rodney Dent,Orlando Magic,Kentucky,1994,2,4,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Jim McIlvaine,Washington Bullets,Marquette,1994,2,5,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Gaylon Nickerson,Atlanta Hawks,Oklahoma State,1994,2,7,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Michael Smith,Sacramento Kings,Providence,1994,2,8,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Dontonio Wingfield,Seattle SuperSonics,Cincinnati,1994,2,10,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Darrin Hancock,Charlotte Hornets,Kansas,1994,2,11,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Anthony Miller,Golden State Warriors,Michigan State,1994,2,12,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Jeff Webster,Miami Heat,Oklahoma,1994,2,13,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Shawnelle Scott,Portland Trail Blazers,St. John's (NY),1994,2,16,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Damon Bailey,Indiana Pacers,Indiana,1994,2,17,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Dwayne Morton,Golden State Warriors,Louisville,1994,2,18,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Voshon Lenard,Milwaukee Bucks,Minnesota,1994,2,19,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Jamie Watson,Utah Jazz,South Carolina,1994,2,20,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Jevon Crudup,Detroit Pistons,Missouri,1994,2,21,48,NCAA,,,,,
,,,,,,,,,,,,,,,,Charles Claxton,Phoenix Suns,Georgia,1994,2,23,50,NCAA,,,,,
,,,,,,,,,,,,,,,,Lawrence Funderburke,Sacramento Kings,Ohio State,1994,2,24,51,NCAA,,,,,
,,,,,,,,,,,,,,,,Anthony Goldwire,Phoenix Suns,Houston,1994,2,25,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Albert Burditt,Houston Rockets,Texas,1994,2,26,53,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Webber,Orlando Magic,Michigan,1993,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Shawn Bradley,Philadelphia 76ers,Brigham Young,1993,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Anfernee Hardaway,Golden State Warriors,Memphis,1993,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Jamal Mashburn,Dallas Mavericks,Kentucky,1993,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Isaiah Rider,Minnesota Timberwolves,Nevada-Las Vegas,1993,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Calbert Cheaney,Washington Bullets,Indiana,1993,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Bobby Hurley,Sacramento Kings,Duke,1993,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Rodney Rogers,Denver Nuggets,Wake Forest,1993,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Allan Houston,Detroit Pistons,Tennessee,1993,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,George Lynch,Los Angeles Lakers,North Carolina,1993,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Terry Dehere,Los Angeles Clippers,Seton Hall,1993,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Scott Haskin,Indiana Pacers,Oregon State,1993,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Doug Edwards,Atlanta Hawks,Florida State,1993,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Rex Walters,New Jersey Nets,Kansas,1993,1,16,16,NCAA,,,,,
,,,,,,,,,,,,,,,,Greg Graham,Charlotte Hornets,Indiana,1993,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Luther Wright,Utah Jazz,Seton Hall,1993,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Acie Earl,Boston Celtics,Iowa,1993,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Scott Burrell,Charlotte Hornets,Connecticut,1993,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,James Robinson,Portland Trail Blazers,Alabama,1993,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Mills,Cleveland Cavaliers,Arizona,1993,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Sam Cassell,Houston Rockets,Florida State,1993,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Corie Blount,Chicago Bulls,Cincinnati,1993,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,Geert Hammink,Orlando Magic,Louisiana State,1993,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Malcolm Mackey,Phoenix Suns,Georgia Tech,1993,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Lucious Harris,Dallas Mavericks,Long Beach State,1993,2,1,28,NCAA,,,,,
,,,,,,,,,,,,,,,,Sherron Mills,Minnesota Timberwolves,Virginia Commonwealth,1993,2,2,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Evers Burns,Sacramento Kings,Maryland,1993,2,4,31,NCAA,,,,,
,,,,,,,,,,,,,,,,Eric Riley,Dallas Mavericks,Michigan,1993,2,6,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Darnell Mee,Golden State Warriors,Western Kentucky,1993,2,7,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Ed Stokes,Miami Heat,Arizona,1993,2,8,35,NCAA,,,,,
,,,,,,,,,,,,,,,,Nick Van Exel,Los Angeles Lakers,Cincinnati,1993,2,10,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Conrad McRae,Washington Bullets,Syracuse,1993,2,11,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Thomas Hill,Indiana Pacers,Duke,1993,2,12,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Richard Manning,Atlanta Hawks,Washington,1993,2,13,40,NCAA,,,,,
,,,,,,,,,,,,,,,,Adonis Jordan,Seattle SuperSonics,Kansas,1993,2,15,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Josh Grant,Denver Nuggets,Utah,1993,2,16,43,NCAA,,,,,
,,,,,,,,,,,,,,,,Alex Holcombe,Sacramento Kings,Baylor,1993,2,17,44,NCAA,,,,,
,,,,,,,,,,,,,,,,Bryon Russell,Utah Jazz,Long Beach State,1993,2,18,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Richard Petruska,Houston Rockets,California-Los Angeles,1993,2,19,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Whitney,San Antonio Spurs,Clemson,1993,2,20,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Kevin Thompson,Portland Trail Blazers,North Carolina State,1993,2,21,48,NCAA,,,,,
,,,,,,,,,,,,,,,,Mike Peplowski,Sacramento Kings,Michigan State,1993,2,25,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Byron Wilson,Phoenix Suns,Utah,1993,2,27,54,NCAA,,,,,
,,,,,,,,,,,,,,,,Shaquille O'Neal,Orlando Magic,Louisiana State,1992,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Alonzo Mourning,Charlotte Hornets,Georgetown,1992,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Christian Laettner,Minnesota Timberwolves,Duke,1992,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Jim Jackson,Dallas Mavericks,Ohio State,1992,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,LaPhonso Ellis,Denver Nuggets,Notre Dame,1992,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Tom Gugliotta,Washington Bullets,North Carolina State,1992,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Walt Williams,Sacramento Kings,Maryland,1992,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Todd Day,Milwaukee Bucks,Arkansas,1992,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Adam Keefe,Atlanta Hawks,Stanford,1992,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Robert Horry,Houston Rockets,Alabama,1992,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Harold Miner,Miami Heat,Southern California,1992,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Bryant Stith,Denver Nuggets,Virginia,1992,1,13,13,NCAA,,,,,
,,,,,,,,,,,,,,,,Malik Sealy,Indiana Pacers,St. John's (NY),1992,1,14,14,NCAA,,,,,
,,,,,,,,,,,,,,,,Anthony Peeler,Los Angeles Lakers,Missouri,1992,1,15,15,NCAA,,,,,
,,,,,,,,,,,,,,,,Doug Christie,Seattle SuperSonics,Pepperdine,1992,1,17,17,NCAA,,,,,
,,,,,,,,,,,,,,,,Tracy Murray,San Antonio Spurs,California-Los Angeles,1992,1,18,18,NCAA,,,,,
,,,,,,,,,,,,,,,,Don MacLean,Detroit Pistons,California-Los Angeles,1992,1,19,19,NCAA,,,,,
,,,,,,,,,,,,,,,,Hubert Davis,New York Knicks,North Carolina,1992,1,20,20,NCAA,,,,,
,,,,,,,,,,,,,,,,Jon Barry,Boston Celtics,Georgia Tech,1992,1,21,21,NCAA,,,,,
,,,,,,,,,,,,,,,,Oliver Miller,Phoenix Suns,Arkansas,1992,1,22,22,NCAA,,,,,
,,,,,,,,,,,,,,,,Lee Mayberry,Milwaukee Bucks,Arkansas,1992,1,23,23,NCAA,,,,,
,,,,,,,,,,,,,,,,Latrell Sprewell,Golden State Warriors,Alabama,1992,1,24,24,NCAA,,,,,
,,,,,,,,,,,,,,,,Elmore Spencer,Los Angeles Clippers,Nevada-Las Vegas,1992,1,25,25,NCAA,,,,,
,,,,,,,,,,,,,,,,Dave Johnson,Portland Trail Blazers,Syracuse,1992,1,26,26,NCAA,,,,,
,,,,,,,,,,,,,,,,Byron Houston,Chicago Bulls,Oklahoma State,1992,1,27,27,NCAA,,,,,
,,,,,,,,,,,,,,,,Marlon Maxey,Minnesota Timberwolves,Texas-El Paso,1992,2,1,28,NCAA,,,,,
,,,,,,,,,,,,,,,,P.J. Brown,New Jersey Nets,Louisiana Tech,1992,2,2,29,NCAA,,,,,
,,,,,,,,,,,,,,,,Sean Rooks,Dallas Mavericks,Arizona,1992,2,3,30,NCAA,,,,,
,,,,,,,,,,,,,,,,Brent Price,Washington Bullets,Oklahoma,1992,2,5,32,NCAA,,,,,
,,,,,,,,,,,,,,,,Corey Williams,Chicago Bulls,Oklahoma State,1992,2,6,33,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris Smith,Minnesota Timberwolves,Connecticut,1992,2,7,34,NCAA,,,,,
,,,,,,,,,,,,,,,,Duane Cooper,Los Angeles Lakers,Southern California,1992,2,9,36,NCAA,,,,,
,,,,,,,,,,,,,,,,Isaiah Morris,Miami Heat,Arkansas,1992,2,10,37,NCAA,,,,,
,,,,,,,,,,,,,,,,Elmer Bennett,Atlanta Hawks,Notre Dame,1992,2,11,38,NCAA,,,,,
,,,,,,,,,,,,,,,,Litterial Green,Chicago Bulls,Georgia,1992,2,12,39,NCAA,,,,,
,,,,,,,,,,,,,,,,Popeye Jones,Houston Rockets,Murray State,1992,2,14,41,NCAA,,,,,
,,,,,,,,,,,,,,,,Matt Geiger,Miami Heat,Georgia Tech,1992,2,15,42,NCAA,,,,,
,,,,,,,,,,,,,,,,Chris King,Seattle SuperSonics,Wake Forest,1992,2,18,45,NCAA,,,,,
,,,,,,,,,,,,,,,,Robert Werdann,Denver Nuggets,St. John's (NY),1992,2,19,46,NCAA,,,,,
,,,,,,,,,,,,,,,,Darren Morningstar,Boston Celtics,Pittsburgh,1992,2,20,47,NCAA,,,,,
,,,,,,,,,,,,,,,,Brian Davis,Phoenix Suns,Duke,1992,2,21,48,NCAA,,,,,
,,,,,,,,,,,,,,,,Ron Ellis,Phoenix Suns,Louisiana Tech,1992,2,22,49,NCAA,,,,,
,,,,,,,,,,,,,,,,Matt Steigenga,Chicago Bulls,Michigan State,1992,2,25,52,NCAA,,,,,
,,,,,,,,,,,,,,,,Larry Johnson,Charlotte Hornets,Nevada-Las Vegas,1991,1,1,1,NCAA,,,,,
,,,,,,,,,,,,,,,,Kenny Anderson,New Jersey Nets,Georgia Tech,1991,1,2,2,NCAA,,,,,
,,,,,,,,,,,,,,,,Billy Owens,Sacramento Kings,Syracuse,1991,1,3,3,NCAA,,,,,
,,,,,,,,,,,,,,,,Dikembe Mutombo,Denver Nuggets,Georgetown,1991,1,4,4,NCAA,,,,,
,,,,,,,,,,,,,,,,Steven Smith,Miami Heat,Michigan State,1991,1,5,5,NCAA,,,,,
,,,,,,,,,,,,,,,,Doug Smith,Dallas Mavericks,Missouri,1991,1,6,6,NCAA,,,,,
,,,,,,,,,,,,,,,,Luc Longley,Minnesota Timberwolves,New Mexico,1991,1,7,7,NCAA,,,,,
,,,,,,,,,,,,,,,,Mark Macon,Denver Nuggets,Temple,1991,1,8,8,NCAA,,,,,
,,,,,,,,,,,,,,,,Stacey Augmon,Atlanta Hawks,Nevada-Las Vegas,1991,1,9,9,NCAA,,,,,
,,,,,,,,,,,,,,,,Bison Dele,Orlando Magic,Arizona,1991,1,10,10,NCAA,,,,,
,,,,,,,,,,,,,,,,Terrell Brandon,Cleveland Cavaliers,Oregon,1991,1,11,11,NCAA,,,,,
,,,,,,,,,,,,,,,,Greg Anthony,New York Knicks,Nevada-Las Vegas,1991,1,12,12,NCAA,,,,,
,,,,,,,,,,,,,,,,Dale Davis,Indiana Pacers,Clemson,1991,1,13,13,NCAA,,,,,
