Player,Season_1,Season_2,Season_3,Season_4,Season_5,Season_6,Season_7,Season_8,Season_9,Season_10,Season_11,Season_12,Season_13,Season_14,Season_15,Season_16,Season_17,Season_18,Season_19,Season_20,Season_21,Season_22,Season_23,Season_24,Season_25
Tom Chambers,0,0,68,68,68,390,519,831,1186,1254,1363,1537,1630,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662,1662
Alex English,0,121,121,121,121,179,360,505,928,1201,1257,1524,1602,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661,1661
Andre Iguodala,49,49,49,128,257,257,314,482,590,682,900,1113,1228,1350,1556,1635,1650,1661,1661,1661,1661,1661,1661,1661,1661
Sam Cassell,207,450,533,533,539,585,664,978,978,1081,1346,1346,1562,1562,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656,1656
Khris Middleton,0,0,95,95,182,355,609,812,1354,1383,1502,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650,1650
Serge Ibaka,47,214,409,550,755,755,971,1114,1201,1426,1589,1599,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608,1608
Tayshaun Prince,141,369,705,1001,1226,1461,1476,1476,1476,1476,1581,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602,1602
Vince Carter,0,58,385,385,385,385,492,818,1086,1086,1086,1303,1303,1336,1336,1424,1493,1538,1593,1593,1593,1593,1593,1593,1593
George Gervin,50,249,649,749,939,1204,1481,1481,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592
George Hill,23,157,227,375,638,868,868,963,1088,1263,1436,1531,1587,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592,1592
Michael Cooper,0,145,177,343,484,722,920,1056,1290,1443,1558,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581,1581
Don Nelson,0,17,84,226,290,527,751,751,751,896,1039,1244,1413,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577,1577
Paul Millsap,100,177,236,416,416,464,464,600,843,1010,1156,1156,1361,1513,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571,1571
Anthony Davis,0,0,126,126,126,397,397,979,1066,1066,1427,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566,1566
Adrian Dantley,0,51,192,192,192,192,192,546,799,799,1107,1553,1553,1553,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558,1558
Jerome Kersey,38,60,84,163,224,659,945,1286,1343,1354,1392,1392,1441,1519,1555,1557,1557,1557,1557,1557,1557,1557,1557,1557,1557
Jrue Holiday,0,71,277,277,277,296,296,296,509,509,509,908,1137,1226,1476,1552,1552,1552,1552,1552,1552,1552,1552,1552,1552
Charles Oakley,30,90,191,278,399,422,486,652,981,1125,1230,1328,1409,1409,1439,1550,1550,1550,1550,1550,1550,1550,1550,1550,1550
Dick Barnett,30,154,154,373,442,617,617,617,760,927,1248,1482,1533,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539,1539
Rik Smits,0,37,86,96,186,442,783,878,878,1143,1296,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537,1537
Dave DeBusschere,80,80,80,80,80,196,359,664,861,1127,1392,1536,1536,1536,1536,1536,1536,1536,1536,1536,1536,1536,1536,1536,1536
Michael Finley,0,0,0,0,0,197,394,760,825,995,1131,1356,1470,1510,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525,1525
Shawn Kemp,0,66,223,536,610,709,1127,1386,1490,1490,1490,1490,1501,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522,1522
Shawn Marion,82,141,141,252,252,516,923,1109,1109,1109,1161,1411,1458,1458,1517,1519,1519,1519,1519,1519,1519,1519,1519,1519,1519
Richard Jefferson,139,420,638,701,945,1181,1181,1181,1275,1314,1314,1327,1327,1342,1456,1511,1511,1511,1511,1511,1511,1511,1511,1511,1511
Chris Webber,47,47,47,94,94,168,290,476,855,1021,1242,1337,1337,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495,1495
Mike Conley,0,0,0,197,296,551,662,777,777,925,925,925,1024,1116,1171,1231,1405,1495,1495,1495,1495,1495,1495,1495,1495
LaMarcus Aldridge,0,0,117,231,356,356,356,644,753,972,1236,1354,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494,1494
JR Smith,0,0,18,91,330,397,446,507,664,664,895,1137,1282,1473,1473,1493,1493,1493,1493,1493,1493,1493,1493,1493,1493
