"Rolando Blackman",,,,,,,,,,,,,,,,,,,,,,,,,,,,,63,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71
"Kenyon Martin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,69,69,69,69,69,69
"Freddie Crawford",,,,,,,,,,,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68
"Landry Shamet",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,67
"Lonnie Shelton",,,,,,,,,,,,,,,,,,,,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66
"Anfernee Hardaway",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66,66,66,66,66,66,66,66,66
"Herb Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,42,50,59,63,63,65,65,65,65,65,65,65,65,65,65,65,65
"Jordan Clarkson",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65
"Sly Williams",,,,,,,,,,,,,,,,,,,,,26,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
"Henry Bibby",,,,,,,,,,,,,,,,,20,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62
"Precious Achiuwa",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,61,61
"Glen Rice",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,61,61,61,61,61,61,61,61,61
"Dick Van Arsdale",,,,,,,,,,,46,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59
"Buck Williams",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,43,57,57,57,57,57,57,57,57,57,57,57,57,57
"Paul Westphal",,,,,,,,,,,,,,,,,,,,,,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57
"Chris Dudley",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,51,55,55,55,55,55,55,55,55,55,55,55
"Rod Strickland",,,,,,,,,,,,,,,,,,,,,,,,,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"Butch Beard",,,,,,,,,,,,,,,,,,,,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"Nate Bowman",,,,,,,,,,,,0,11,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54
"Jim McMillian",,,,,,,,,,,,,,,,,,,,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53
"Sidney Green",,,,,,,,,,,,,,,,,,,,,,,,16,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
